month,day,weekday,hr,min,lat,lng,dist_g,dist_k,act,ratio,sbi,tot,title,act_title
11,25,6,0,0,25.02605,121.5436,1.555927,0.01838,1,0.357143,10,28,20231125_500101001_00:00,20231125_500101001_00:01
11,25,6,0,0,25.02565,121.54357,1.519132,0.054195,1,0.190476,4,21,20231125_500101002_00:00,20231125_500101002_00:01
11,25,6,0,0,25.02429,121.54124,1.258209,0.300737,1,0.5625,9,16,20231125_500101003_00:00,20231125_500101003_00:01
11,25,6,0,0,25.02351,121.54282,1.289394,0.296182,1,0.090909,1,11,20231125_500101004_00:00,20231125_500101004_00:01
11,25,6,0,0,25.02153,121.54299,1.150095,0.510888,1,0.1875,3,16,20231125_500101005_00:00,20231125_500101005_00:01
11,25,6,0,0,25.02429,121.54328,1.384733,0.203775,1,0.181818,2,11,20231125_500101006_00:00,20231125_500101006_00:01
11,25,6,0,0,25.02253,121.54326,1.243599,0.39852,1,0.272727,3,11,20231125_500101007_00:00,20231125_500101007_00:01
11,25,6,0,0,25.02112,121.53407,0.688389,1.095936,1,0.823529,14,17,20231125_500101008_00:00,20231125_500101008_00:01
11,25,6,0,0,25.01976,121.53384,0.538913,1.198011,1,0.1875,3,16,20231125_500101009_00:00,20231125_500101009_00:01
11,25,6,0,0,25.01894,121.53361,0.450902,1.271639,1,0.45,9,20,20231125_500101010_00:00,20231125_500101010_00:01
11,25,6,0,0,25.02543,121.54332,1.484365,0.077778,1,0.222222,2,9,20231125_500101013_00:00,20231125_500101013_00:01
11,25,6,0,0,25.01717,121.53202,0.334556,1.520425,1,0.090909,1,11,20231125_500101014_00:00,20231125_500101014_00:01
11,25,6,0,0,25.020348,121.546446,1.373815,0.708246,1,0.214286,3,14,20231125_500101015_00:00,20231125_500101015_00:01
11,25,6,0,0,25.01895,121.53156,0.521911,1.438251,1,0.8,4,5,20231125_500101018_00:00,20231125_500101018_00:01
11,25,6,0,0,25.024461,121.546705,1.646005,0.377794,1,0.466667,7,15,20231125_500101019_00:00,20231125_500101019_00:01
11,25,6,0,0,25.02093,121.5331,0.676612,1.191451,0,0.0,0,5,20231125_500101020_00:00,20231125_500101020_00:01
11,25,6,0,0,25.01385,121.53549,0.173989,1.578604,1,0.0,0,7,20231125_500101021_00:00,20231125_500101021_00:01
11,25,6,0,0,25.01491,121.53438,0.016658,1.542324,1,0.090909,9,99,20231125_500101022_00:00,20231125_500101022_00:01
11,25,6,0,0,25.01244,121.53661,0.36486,1.665095,1,0.12,3,25,20231125_500101023_00:00,20231125_500101023_00:01
11,25,6,0,0,25.01451,121.54142,0.728587,1.302528,1,0.0,0,30,20231125_500101024_00:00,20231125_500101024_00:01
11,25,6,0,0,25.01295,121.53973,0.597398,1.506529,1,0.020202,2,99,20231125_500101025_00:00,20231125_500101025_00:01
11,25,6,0,0,25.01137,121.54062,0.755972,1.658896,1,0.866667,13,15,20231125_500101026_00:00,20231125_500101026_00:01
11,25,6,0,0,25.01182,121.54165,0.824717,1.594732,1,1.0,39,39,20231125_500101027_00:00,20231125_500101027_00:01
11,25,6,0,0,25.01426,121.54382,0.972157,1.314782,1,0.1,2,20,20231125_500101028_00:00,20231125_500101028_00:01
11,25,6,0,0,25.01234,121.54503,1.128081,1.53534,1,0.266667,4,15,20231125_500101029_00:00,20231125_500101029_00:01
11,25,6,0,0,25.0136,121.54656,1.254468,1.422683,1,0.029412,1,34,20231125_500101030_00:00,20231125_500101030_00:01
