month,day,weekday,hr,min,lat,lng,act,ratio,sbi,tot,title,act_title
12,9,6,0,0,25.02605,121.5436,1,0.142857,4,28,20231209_500101001_00:00,20231209_500101001_00:00
12,9,6,0,20,25.02605,121.5436,1,0.571429,16,28,20231209_500101001_00:20,20231209_500101001_00:21
12,9,6,0,40,25.02605,121.5436,1,0.535714,15,28,20231209_500101001_00:40,20231209_500101001_00:40
12,9,6,1,0,25.02605,121.5436,1,0.464286,13,28,20231209_500101001_01:00,20231209_500101001_01:01
12,9,6,1,20,25.02605,121.5436,1,0.535714,15,28,20231209_500101001_01:20,20231209_500101001_01:22
12,9,6,1,40,25.02605,121.5436,1,0.535714,15,28,20231209_500101001_01:40,20231209_500101001_01:40
12,9,6,2,0,25.02605,121.5436,1,0.535714,15,28,20231209_500101001_02:00,20231209_500101001_02:01
12,9,6,2,20,25.02605,121.5436,1,0.535714,15,28,20231209_500101001_02:20,20231209_500101001_02:21
12,9,6,2,40,25.02605,121.5436,1,0.535714,15,28,20231209_500101001_02:40,20231209_500101001_02:41
12,9,6,3,0,25.02605,121.5436,1,0.535714,15,28,20231209_500101001_03:00,20231209_500101001_03:00
12,9,6,3,20,25.02605,121.5436,1,0.535714,15,28,20231209_500101001_03:20,20231209_500101001_03:21
12,9,6,3,40,25.02605,121.5436,1,0.5,14,28,20231209_500101001_03:40,20231209_500101001_03:40
12,9,6,4,0,25.02605,121.5436,1,0.5,14,28,20231209_500101001_04:00,20231209_500101001_04:00
12,9,6,4,20,25.02605,121.5436,1,0.5,14,28,20231209_500101001_04:20,20231209_500101001_04:21
12,9,6,4,40,25.02605,121.5436,1,0.5,14,28,20231209_500101001_04:40,20231209_500101001_04:40
12,9,6,5,0,25.02605,121.5436,1,0.5,14,28,20231209_500101001_05:00,20231209_500101001_05:01
12,9,6,5,20,25.02605,121.5436,1,0.5,14,28,20231209_500101001_05:20,20231209_500101001_05:21
12,9,6,5,40,25.02605,121.5436,1,0.464286,13,28,20231209_500101001_05:40,20231209_500101001_05:41
12,9,6,6,0,25.02605,121.5436,1,0.5,14,28,20231209_500101001_06:00,20231209_500101001_06:01
12,9,6,6,20,25.02605,121.5436,1,0.464286,13,28,20231209_500101001_06:20,20231209_500101001_06:21
12,9,6,6,40,25.02605,121.5436,1,0.142857,4,28,20231209_500101001_06:40,20231209_500101001_06:40
12,9,6,7,0,25.02605,121.5436,1,0.142857,4,28,20231209_500101001_07:00,20231209_500101001_07:01
12,9,6,7,20,25.02605,121.5436,1,0.214286,6,28,20231209_500101001_07:20,20231209_500101001_07:21
12,9,6,7,40,25.02605,121.5436,1,0.107143,3,28,20231209_500101001_07:40,20231209_500101001_07:40
12,9,6,0,0,25.02565,121.54357,1,0.047619,1,21,20231209_500101002_00:00,20231209_500101002_00:00
12,9,6,0,20,25.02565,121.54357,1,0.0,0,21,20231209_500101002_00:20,20231209_500101002_00:21
12,9,6,0,40,25.02565,121.54357,1,0.047619,1,21,20231209_500101002_00:40,20231209_500101002_00:40
12,9,6,1,0,25.02565,121.54357,1,0.095238,2,21,20231209_500101002_01:00,20231209_500101002_01:01
12,9,6,1,20,25.02565,121.54357,1,0.142857,3,21,20231209_500101002_01:20,20231209_500101002_01:22
12,9,6,1,40,25.02565,121.54357,1,0.142857,3,21,20231209_500101002_01:40,20231209_500101002_01:40
12,9,6,2,0,25.02565,121.54357,1,0.095238,2,21,20231209_500101002_02:00,20231209_500101002_02:01
12,9,6,2,20,25.02565,121.54357,1,0.095238,2,21,20231209_500101002_02:20,20231209_500101002_02:21
12,9,6,2,40,25.02565,121.54357,1,0.095238,2,21,20231209_500101002_02:40,20231209_500101002_02:41
12,9,6,3,0,25.02565,121.54357,1,0.095238,2,21,20231209_500101002_03:00,20231209_500101002_03:00
12,9,6,3,20,25.02565,121.54357,1,0.095238,2,21,20231209_500101002_03:20,20231209_500101002_03:21
12,9,6,3,40,25.02565,121.54357,1,0.095238,2,21,20231209_500101002_03:40,20231209_500101002_03:40
12,9,6,4,0,25.02565,121.54357,1,0.095238,2,21,20231209_500101002_04:00,20231209_500101002_04:00
12,9,6,4,20,25.02565,121.54357,1,0.095238,2,21,20231209_500101002_04:20,20231209_500101002_04:21
12,9,6,4,40,25.02565,121.54357,1,0.095238,2,21,20231209_500101002_04:40,20231209_500101002_04:40
12,9,6,5,0,25.02565,121.54357,1,0.095238,2,21,20231209_500101002_05:00,20231209_500101002_05:01
12,9,6,5,20,25.02565,121.54357,1,0.095238,2,21,20231209_500101002_05:20,20231209_500101002_05:21
12,9,6,5,40,25.02565,121.54357,1,0.047619,1,21,20231209_500101002_05:40,20231209_500101002_05:41
12,9,6,6,0,25.02565,121.54357,1,0.095238,2,21,20231209_500101002_06:00,20231209_500101002_06:01
12,9,6,6,20,25.02565,121.54357,1,0.095238,2,21,20231209_500101002_06:20,20231209_500101002_06:21
12,9,6,6,40,25.02565,121.54357,1,0.142857,3,21,20231209_500101002_06:40,20231209_500101002_06:40
12,9,6,7,0,25.02565,121.54357,1,0.190476,4,21,20231209_500101002_07:00,20231209_500101002_07:01
12,9,6,7,20,25.02565,121.54357,1,0.047619,1,21,20231209_500101002_07:20,20231209_500101002_07:21
12,9,6,7,40,25.02565,121.54357,1,0.095238,2,21,20231209_500101002_07:40,20231209_500101002_07:40
12,9,6,0,0,25.02429,121.54124,1,0.1875,3,16,20231209_500101003_00:00,20231209_500101003_00:00
12,9,6,0,20,25.02429,121.54124,1,0.1875,3,16,20231209_500101003_00:20,20231209_500101003_00:21
12,9,6,0,40,25.02429,121.54124,1,0.1875,3,16,20231209_500101003_00:40,20231209_500101003_00:40
12,9,6,1,0,25.02429,121.54124,1,0.1875,3,16,20231209_500101003_01:00,20231209_500101003_01:01
12,9,6,1,20,25.02429,121.54124,1,0.1875,3,16,20231209_500101003_01:20,20231209_500101003_01:22
12,9,6,1,40,25.02429,121.54124,1,0.125,2,16,20231209_500101003_01:40,20231209_500101003_01:40
12,9,6,2,0,25.02429,121.54124,1,0.125,2,16,20231209_500101003_02:00,20231209_500101003_02:01
12,9,6,2,20,25.02429,121.54124,1,0.125,2,16,20231209_500101003_02:20,20231209_500101003_02:21
12,9,6,2,40,25.02429,121.54124,1,0.125,2,16,20231209_500101003_02:40,20231209_500101003_02:41
12,9,6,3,0,25.02429,121.54124,1,0.125,2,16,20231209_500101003_03:00,20231209_500101003_03:00
12,9,6,3,20,25.02429,121.54124,1,0.0625,1,16,20231209_500101003_03:20,20231209_500101003_03:21
