month,day,weekday,hr,min,lat,lng,act,ratio,sbi,tot,title,act_title
12,3,7,0,0,25.02605,121.5436,1,0.42857,12,28,20231203_500101001_00:00,20231203_500101001_00:01
12,3,7,0,20,25.02605,121.5436,1,0.07143,2,28,20231203_500101001_00:20,20231203_500101001_00:21
12,3,7,0,40,25.02605,121.5436,1,0.03571,1,28,20231203_500101001_00:40,20231203_500101001_00:41
12,3,7,1,0,25.02605,121.5436,1,0.07143,2,28,20231203_500101001_01:00,20231203_500101001_01:01
12,3,7,1,20,25.02605,121.5436,1,0.07143,2,28,20231203_500101001_01:20,20231203_500101001_01:21
12,3,7,1,40,25.02605,121.5436,1,0.07143,2,28,20231203_500101001_01:40,20231203_500101001_01:40
12,3,7,2,0,25.02605,121.5436,1,0.17857,5,28,20231203_500101001_02:00,20231203_500101001_02:01
12,3,7,2,20,25.02605,121.5436,1,0.17857,5,28,20231203_500101001_02:20,20231203_500101001_02:21
12,3,7,2,40,25.02605,121.5436,1,0.21429,6,28,20231203_500101001_02:40,20231203_500101001_02:40
12,3,7,3,0,25.02605,121.5436,1,0.21429,6,28,20231203_500101001_03:00,20231203_500101001_03:00
12,3,7,3,20,25.02605,121.5436,1,0.25,7,28,20231203_500101001_03:20,20231203_500101001_03:21
12,3,7,3,40,25.02605,121.5436,1,0.25,7,28,20231203_500101001_03:40,20231203_500101001_03:40
12,3,7,4,0,25.02605,121.5436,1,0.25,7,28,20231203_500101001_04:00,20231203_500101001_04:01
12,3,7,4,20,25.02605,121.5436,1,0.25,7,28,20231203_500101001_04:20,20231203_500101001_04:21
12,3,7,4,40,25.02605,121.5436,1,0.28571,8,28,20231203_500101001_04:40,20231203_500101001_04:41
12,3,7,5,0,25.02605,121.5436,1,0.28571,8,28,20231203_500101001_05:00,20231203_500101001_05:01
12,3,7,5,20,25.02605,121.5436,1,0.28571,8,28,20231203_500101001_05:20,20231203_500101001_05:21
12,3,7,5,40,25.02605,121.5436,1,0.32143,9,28,20231203_500101001_05:40,20231203_500101001_05:41
12,3,7,6,0,25.02605,121.5436,1,0.28571,8,28,20231203_500101001_06:00,20231203_500101001_06:00
12,3,7,6,20,25.02605,121.5436,1,0.25,7,28,20231203_500101001_06:20,20231203_500101001_06:21
