month,day,weekday,hr,min,lat,lng,act,ratio,sbi,tot,title,act_title
12,1,5,0,0,25.02605,121.5436,1,0.17857,5,28,20231201_500101001_00:00,20231201_500101001_00:00
12,1,5,0,20,25.02605,121.5436,1,0.21429,6,28,20231201_500101001_00:20,20231201_500101001_00:21
12,1,5,0,0,25.02565,121.54357,1,0.38095,8,21,20231201_500101002_00:00,20231201_500101002_00:00
12,1,5,0,20,25.02565,121.54357,1,0.42857,9,21,20231201_500101002_00:20,20231201_500101002_00:21
12,1,5,0,0,25.02429,121.54124,1,1.0,16,16,20231201_500101003_00:00,20231201_500101003_00:00
12,1,5,0,20,25.02429,121.54124,1,1.0,16,16,20231201_500101003_00:20,20231201_500101003_00:21
12,1,5,0,0,25.02351,121.54282,1,0.63636,7,11,20231201_500101004_00:00,20231201_500101004_00:00
12,1,5,0,20,25.02351,121.54282,1,0.63636,7,11,20231201_500101004_00:20,20231201_500101004_00:21
12,1,5,0,0,25.02153,121.54299,1,0.0,0,16,20231201_500101005_00:00,20231201_500101005_00:00
12,1,5,0,20,25.02153,121.54299,1,0.0,0,16,20231201_500101005_00:20,20231201_500101005_00:21
12,1,5,0,0,25.02429,121.54328,1,0.09091,1,11,20231201_500101006_00:00,20231201_500101006_00:00
12,1,5,0,20,25.02429,121.54328,1,0.09091,1,11,20231201_500101006_00:20,20231201_500101006_00:21
12,1,5,0,0,25.02253,121.54326,1,0.0,0,11,20231201_500101007_00:00,20231201_500101007_00:00
12,1,5,0,20,25.02253,121.54326,1,0.0,0,11,20231201_500101007_00:20,20231201_500101007_00:21
12,1,5,0,0,25.02112,121.53407,1,0.52941,9,17,20231201_500101008_00:00,20231201_500101008_00:00
12,1,5,0,20,25.02112,121.53407,1,0.47059,8,17,20231201_500101008_00:20,20231201_500101008_00:21
12,1,5,0,0,25.01976,121.53384,1,0.0625,1,16,20231201_500101009_00:00,20231201_500101009_00:00
12,1,5,0,20,25.01976,121.53384,1,0.0625,1,16,20231201_500101009_00:20,20231201_500101009_00:21
12,1,5,0,0,25.01894,121.53361,1,0.0,0,20,20231201_500101010_00:00,20231201_500101010_00:00
12,1,5,0,20,25.01894,121.53361,1,0.0,0,20,20231201_500101010_00:20,20231201_500101010_00:21
12,1,5,0,0,25.02543,121.54332,1,0.77778,7,9,20231201_500101013_00:00,20231201_500101013_00:00
12,1,5,0,20,25.02543,121.54332,1,0.77778,7,9,20231201_500101013_00:20,20231201_500101013_00:21
12,1,5,0,0,25.01717,121.53202,1,0.18182,2,11,20231201_500101014_00:00,20231201_500101014_00:00
12,1,5,0,20,25.01717,121.53202,1,0.18182,2,11,20231201_500101014_00:20,20231201_500101014_00:21
12,1,5,0,0,25.02035,121.54645,1,0.14286,2,14,20231201_500101015_00:00,20231201_500101015_00:00
12,1,5,0,20,25.02035,121.54645,1,0.14286,2,14,20231201_500101015_00:20,20231201_500101015_00:21
12,1,5,0,0,25.01895,121.53156,1,0.6,3,5,20231201_500101018_00:00,20231201_500101018_00:00
12,1,5,0,20,25.01895,121.53156,1,0.6,3,5,20231201_500101018_00:20,20231201_500101018_00:21
12,1,5,0,0,25.02446,121.5467,1,0.66667,10,15,20231201_500101019_00:00,20231201_500101019_00:00
